BLE1,BLE2,BLE3,BLE4,PosX,PosY
-82,-68,-84,-77,0.071584,0.124901
-82,-65,-84,-76,0.00147,0.474506
-82,-61,-84,-76,0.047313,0.407728
-82,-61,-84,-76,0.047313,0.407728
-82,-63,-84,-77,0.029339,0.022109
-82,-66,-84,-77,0.017777,0.046523
-82,-68,-84,-76,0.071584,0.580921
-82,-64,-84,-76,0.016926,0.451992
-82,-62,-84,-77,0.039307,0.03663
-82,-67,-84,-77,0.041742,0.081432
-82,-66,-84,-77,0.017777,0.046523
-82,-68,-84,-76,0.071584,0.580921
-82,-66,-84,-76,0.017777,0.502542
-82,-62,-84,-76,0.039307,0.419389
-82,-63,-84,-76,0.029339,0.43391
-82,-63,-84,-76,0.029339,0.43391
-82,-66,-84,-76,0.017777,0.502542
-82,-68,-84,-76,0.071584,0.580921
-82,-68,-84,-76,0.071584,0.580921
-82,-67,-84,-76,0.041742,0.537451
-82,-62,-84,-77,0.039307,0.03663
-82,-65,-84,-76,0.00147,0.474506
-82,-64,-84,-76,0.016926,0.451992
-82,-63,-84,-76,0.029339,0.43391
-82,-66,-84,-77,0.017777,0.046523
-82,-68,-84,-77,0.071584,0.124901
-82,-66,-84,-77,0.017777,0.046523
-82,-68,-84,-77,0.071584,0.124901
-82,-68,-84,-76,0.071584,0.580921
-82,-63,-84,-77,0.029339,0.022109
-82,-67,-84,-77,0.041742,0.081432
-82,-62,-84,-77,0.039307,0.03663
-82,-67,-84,-76,0.041742,0.537451
-82,-64,-84,-77,0.016926,0.004028
-82,-64,-84,-77,0.016926,0.004028
-82,-64,-84,-76,0.016926,0.451992
-82,-65,-84,-77,0.00147,0.018487
-82,-66,-84,-77,0.017777,0.046523
-82,-67,-84,-77,0.041742,0.081432
-82,-63,-84,-77,0.029339,0.022109
-81,-68,-83,-75,0.714501,0.518531
-81,-65,-83,-76,0.641448,0.045895
-81,-61,-83,-76,0.595605,0.020884
-80,-61,-83,-76,1.111923,0.365096
-80,-63,-83,-75,1.129897,0.027309
-80,-66,-83,-74,1.177012,0.390048
-81,-68,-83,-75,0.714501,0.518531
-80,-64,-83,-74,1.14231,0.339498
-80,-62,-83,-74,1.119929,0.306896
-81,-67,-83,-76,0.68466,0.108839
-80,-66,-83,-76,1.177012,0.270282
-81,-68,-83,-75,0.714501,0.518531
-80,-66,-83,-76,1.177012,0.270282
-81,-62,-83,-74,0.60361,0.651108
-81,-63,-83,-74,0.613579,0.665629
-81,-63,-83,-75,0.613579,0.371521
-81,-66,-83,-75,0.660694,0.440152
-81,-68,-83,-74,0.714501,0.812639
-80,-68,-83,-76,1.230819,0.191903
-81,-67,-83,-76,0.68466,0.108839
-81,-62,-83,-76,0.60361,0.009222
-81,-65,-83,-76,0.641448,0.045895
-81,-64,-83,-76,0.625992,0.02338
-80,-63,-83,-76,1.129897,0.338914
-81,-66,-83,-76,0.660694,0.07393
-80,-68,-83,-76,1.230819,0.191903
-80,-66,-83,-76,1.177012,0.270282
-80,-68,-83,-74,1.230819,0.468427
-80,-68,-83,-74,1.230819,0.468427
-81,-63,-83,-76,0.613579,0.005298
-80,-67,-83,-77,1.200978,0.691392
-80,-62,-83,-77,1.119929,0.809454
-80,-67,-83,-74,1.200978,0.424958
-81,-64,-83,-75,0.625992,0.389602
-81,-64,-83,-75,0.625992,0.389602
-80,-64,-83,-77,1.14231,0.776851
-81,-65,-83,-77,0.641448,0.410125
-80,-66,-83,-74,1.177012,0.390048
-81,-67,-83,-76,0.68466,0.108839
-81,-63,-83,-75,0.613579,0.371521
-79,-69,-82,-72,1.682626,0.672001
-81,-68,-82,-70,0.714501,1.513186
-81,-69,-82,-72,0.75166,1.292645
-81,-69,-82,-72,0.75166,1.292645
-80,-65,-82,-71,1.157766,0.940224
-80,-69,-82,-70,1.267978,1.223102
-80,-66,-82,-71,1.177012,0.968259
-81,-68,-82,-74,0.714501,0.812639
-79,-64,-82,-72,1.556958,0.488944
-80,-67,-82,-71,1.200978,1.003168
-79,-69,-82,-69,1.682626,1.044916
-79,-69,-82,-69,1.682626,1.044916
-79,-66,-82,-71,1.59166,0.691827
-80,-68,-82,-72,1.230819,0.894305
-81,-66,-82,-74,0.660694,0.73426
-80,-64,-82,-70,1.14231,1.040045
-81,-68,-82,-73,0.714501,1.048833
-80,-68,-82,-73,1.230819,0.704621
-81,-67,-82,-72,0.68466,1.195048
-81,-68,-82,-73,0.714501,1.048833
-79,-65,-82,-74,1.572414,0.085581
-79,-64,-82,-71,1.556958,0.641277
-81,-66,-82,-72,0.660694,1.160138
-81,-68,-82,-71,0.714501,1.39085
-81,-66,-82,-74,0.660694,0.73426
-80,-68,-82,-74,1.230819,0.468427
-81,-68,-82,-74,0.714501,0.812639
-81,-66,-82,-74,0.660694,0.73426
-81,-67,-82,-72,0.68466,1.195048
-79,-69,-82,-73,1.682626,0.482317
-81,-67,-82,-74,0.68466,0.76917
-79,-64,-82,-72,1.556958,0.488944
-80,-64,-82,-72,1.14231,0.765376
-81,-64,-82,-73,0.625992,0.919904
-80,-65,-82,-74,1.157766,0.362013
-79,-66,-82,-73,1.59166,0.349811
-79,-67,-82,-73,1.615626,0.38472
-80,-68,-82,-74,1.230819,0.468427
-80,-68,-82,-74,1.230819,0.468427
-80,-65,-82,-72,1.157766,0.787891
-79,-73,-82,-75,1.947586,0.337974
-78,-71,-83,-76,2.119508,0.48488
-78,-71,-83,-76,2.119508,0.48488
-79,-69,-82,-76,1.682626,0.414207
-79,-70,-82,-75,1.728896,0.019415
-79,-71,-83,-74,1.786511,0.397449
-79,-71,-83,-75,1.786511,0.103341
-79,-70,-82,-74,1.728896,0.313523
-79,-73,-83,-74,1.947586,0.632082
-78,-71,-82,-76,2.119508,0.48488
-78,-71,-82,-76,2.119508,0.48488
